,City,Country,Lat,Lng,Max Temp,Wind Speed,Cloudiness,Hotel Name
7,uruacu,BR,-14.5247,-49.1408,74.43,3.02,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>No hotel found</dd>
<dt>City</dt><dd>uruacu</dd>
<dt>Country</dt><dd>BR</dd>
</dl>
</dd>
<dt>City</dt><dd>uruacu</dd>
<dt>Country</dt><dd>BR</dd>
</dl>
"
14,kone,NC,-21.0595,164.8658,75.38,8.88,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>Pacifik Appartels</dd>
<dt>City</dt><dd>kone</dd>
<dt>Country</dt><dd>NC</dd>
</dl>
</dd>
<dt>City</dt><dd>kone</dd>
<dt>Country</dt><dd>NC</dd>
</dl>
"
38,palmas,BR,-10.2128,-48.3603,75.07,3.44,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>Hotel Triângulo Mineiro</dd>
<dt>City</dt><dd>palmas</dd>
<dt>Country</dt><dd>BR</dd>
</dl>
</dd>
<dt>City</dt><dd>palmas</dd>
<dt>Country</dt><dd>BR</dd>
</dl>
"
46,colonia,DE,50.9333,6.95,63.97,9.22,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>Wasserturm Hotel Cologne</dd>
<dt>City</dt><dd>colonia</dd>
<dt>Country</dt><dd>DE</dd>
</dl>
</dd>
<dt>City</dt><dd>colonia</dd>
<dt>Country</dt><dd>DE</dd>
</dl>
"
68,beyneu,KZ,45.3167,55.2,78.64,9.8,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>Johan yu</dd>
<dt>City</dt><dd>beyneu</dd>
<dt>Country</dt><dd>KZ</dd>
</dl>
</dd>
<dt>City</dt><dd>beyneu</dd>
<dt>Country</dt><dd>KZ</dd>
</dl>
"
102,yeraliyev,KZ,43.2,51.65,75.67,7.29,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>Kuryk</dd>
<dt>City</dt><dd>yeraliyev</dd>
<dt>Country</dt><dd>KZ</dd>
</dl>
</dd>
<dt>City</dt><dd>yeraliyev</dd>
<dt>Country</dt><dd>KZ</dd>
</dl>
"
161,itacoatiara,BR,-3.1431,-58.4442,79.18,0.63,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>Regine's Hotel</dd>
<dt>City</dt><dd>itacoatiara</dd>
<dt>Country</dt><dd>BR</dd>
</dl>
</dd>
<dt>City</dt><dd>itacoatiara</dd>
<dt>Country</dt><dd>BR</dd>
</dl>
"
193,fes,MA,34.0372,-4.9998,71.85,3.44,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>Maghreb Hôtel</dd>
<dt>City</dt><dd>fes</dd>
<dt>Country</dt><dd>MA</dd>
</dl>
</dd>
<dt>City</dt><dd>fes</dd>
<dt>Country</dt><dd>MA</dd>
</dl>
"
217,bermeo,ES,43.4209,-2.7215,67.24,4.23,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>Aldatzeta ostatua</dd>
<dt>City</dt><dd>bermeo</dd>
<dt>Country</dt><dd>ES</dd>
</dl>
</dd>
<dt>City</dt><dd>bermeo</dd>
<dt>Country</dt><dd>ES</dd>
</dl>
"
267,melouza,DZ,35.98,4.1867,73.09,6.08,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>No hotel found</dd>
<dt>City</dt><dd>melouza</dd>
<dt>Country</dt><dd>DZ</dd>
</dl>
</dd>
<dt>City</dt><dd>melouza</dd>
<dt>Country</dt><dd>DZ</dd>
</dl>
"
281,uspenskoye,RU,44.8311,41.3927,66.27,9.08,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>No hotel found</dd>
<dt>City</dt><dd>uspenskoye</dd>
<dt>Country</dt><dd>RU</dd>
</dl>
</dd>
<dt>City</dt><dd>uspenskoye</dd>
<dt>Country</dt><dd>RU</dd>
</dl>
"
288,darwin,AU,-12.4611,130.8418,75.88,5.01,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>Mantra Pantanas Darwin</dd>
<dt>City</dt><dd>darwin</dd>
<dt>Country</dt><dd>AU</dd>
</dl>
</dd>
<dt>City</dt><dd>darwin</dd>
<dt>Country</dt><dd>AU</dd>
</dl>
"
316,amarante do maranhao,BR,-5.5667,-46.7422,75.34,0.76,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>No hotel found</dd>
<dt>City</dt><dd>amarante do maranhao</dd>
<dt>Country</dt><dd>BR</dd>
</dl>
</dd>
<dt>City</dt><dd>amarante do maranhao</dd>
<dt>Country</dt><dd>BR</dd>
</dl>
"
394,quelimane,MZ,-17.8786,36.8883,66.15,2.3,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>Mabassa</dd>
<dt>City</dt><dd>quelimane</dd>
<dt>Country</dt><dd>MZ</dd>
</dl>
</dd>
<dt>City</dt><dd>quelimane</dd>
<dt>Country</dt><dd>MZ</dd>
</dl>
"
416,le blanc,FR,46.6667,1.1667,61.2,6.98,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>Chez P'tit Jean</dd>
<dt>City</dt><dd>le blanc</dd>
<dt>Country</dt><dd>FR</dd>
</dl>
</dd>
<dt>City</dt><dd>le blanc</dd>
<dt>Country</dt><dd>FR</dd>
</dl>
"
435,bordj zemoura,DZ,36.2746,4.8567,71.11,2.82,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>No hotel found</dd>
<dt>City</dt><dd>bordj zemoura</dd>
<dt>Country</dt><dd>DZ</dd>
</dl>
</dd>
<dt>City</dt><dd>bordj zemoura</dd>
<dt>Country</dt><dd>DZ</dd>
</dl>
"
444,yashkul',RU,46.1711,45.3435,75.04,6.11,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>No hotel found</dd>
<dt>City</dt><dd>yashkul'</dd>
<dt>Country</dt><dd>RU</dd>
</dl>
</dd>
<dt>City</dt><dd>yashkul'</dd>
<dt>Country</dt><dd>RU</dd>
</dl>
"
457,borzya,RU,50.3833,116.5167,69.57,7.47,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>гостиница Глория</dd>
<dt>City</dt><dd>borzya</dd>
<dt>Country</dt><dd>RU</dd>
</dl>
</dd>
<dt>City</dt><dd>borzya</dd>
<dt>Country</dt><dd>RU</dd>
</dl>
"
462,paphos,CY,34.7667,32.4167,78.58,8.05,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>Mayfair Hotel</dd>
<dt>City</dt><dd>paphos</dd>
<dt>Country</dt><dd>CY</dd>
</dl>
</dd>
<dt>City</dt><dd>paphos</dd>
<dt>Country</dt><dd>CY</dd>
</dl>
"
468,yarmouth,US,41.7057,-70.2286,76.96,9.22,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>The Inn At Cape Cod</dd>
<dt>City</dt><dd>yarmouth</dd>
<dt>Country</dt><dd>US</dd>
</dl>
</dd>
<dt>City</dt><dd>yarmouth</dd>
<dt>Country</dt><dd>US</dd>
</dl>
"
482,ulladulla,AU,-35.35,150.4667,63.68,6.06,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>Hotel Marlin</dd>
<dt>City</dt><dd>ulladulla</dd>
<dt>Country</dt><dd>AU</dd>
</dl>
</dd>
<dt>City</dt><dd>ulladulla</dd>
<dt>Country</dt><dd>AU</dd>
</dl>
"
497,irymple,AU,-34.25,142.1667,60.1,1.99,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>Chaffey Motor Inn</dd>
<dt>City</dt><dd>irymple</dd>
<dt>Country</dt><dd>AU</dd>
</dl>
</dd>
<dt>City</dt><dd>irymple</dd>
<dt>Country</dt><dd>AU</dd>
</dl>
"
548,nelson bay,AU,-32.7167,152.15,63.0,5.01,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>No hotel found</dd>
<dt>City</dt><dd>nelson bay</dd>
<dt>Country</dt><dd>AU</dd>
</dl>
</dd>
<dt>City</dt><dd>nelson bay</dd>
<dt>Country</dt><dd>AU</dd>
</dl>
"
574,la rinconada,ES,37.4873,-5.9826,71.98,5.75,0,"
<dl>
<dt>Name</dt><dd>
<dl>
<dt>Name</dt><dd>Hotel Torre de los Guzmanes</dd>
<dt>City</dt><dd>la rinconada</dd>
<dt>Country</dt><dd>ES</dd>
</dl>
</dd>
<dt>City</dt><dd>la rinconada</dd>
<dt>Country</dt><dd>ES</dd>
</dl>
"
